date,confirmed,vaccines,people_vaccinated,people_fully_vaccinated,school_closing,workplace_closing,cancel_events,gatherings_restrictions,transport_closing,stay_home_restrictions,internal_movement_restrictions,international_movement_restrictions,information_campaigns,contact_tracing,facial_coverings
22-01-2020,NA,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0
23-01-2020,NA,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0
24-01-2020,NA,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0
25-01-2020,NA,0,NA,NA,0,0,0,0,0,0,0,0,1,0,0
26-01-2020,NA,0,NA,NA,0,0,0,0,0,-1,0,1,1,1,0
27-01-2020,NA,0,NA,NA,0,0,0,0,0,-1,0,1,1,1,0
28-01-2020,NA,0,NA,NA,0,0,0,0,0,-1,0,1,1,1,0
29-01-2020,NA,0,NA,NA,0,0,0,0,0,-1,0,1,1,1,0
30-01-2020,1,0,NA,NA,0,0,0,0,0,-1,0,1,1,1,0
31-01-2020,1,0,NA,NA,0,0,0,0,0,-1,0,1,1,2,0
01-02-2020,1,0,NA,NA,0,0,0,0,0,-1,0,1,1,2,0
02-02-2020,2,0,NA,NA,0,0,0,0,0,-1,0,1,1,2,0
03-02-2020,3,0,NA,NA,0,0,0,0,0,-1,0,1,1,2,0
04-02-2020,3,0,NA,NA,0,0,0,0,0,-1,0,1,1,2,0
05-02-2020,3,0,NA,NA,0,0,0,0,0,-1,0,1,1,2,0
06-02-2020,3,0,NA,NA,0,0,0,0,0,-1,0,1,1,2,0
07-02-2020,3,0,NA,NA,0,0,0,0,0,-1,0,1,1,2,0
08-02-2020,3,0,NA,NA,0,0,0,0,0,-1,0,1,1,2,0
09-02-2020,3,0,NA,NA,0,0,0,0,0,-1,0,1,1,2,0
10-02-2020,3,0,NA,NA,0,0,0,0,0,-1,0,1,1,2,0
11-02-2020,3,0,NA,NA,0,0,0,0,0,-1,0,1,1,2,0
12-02-2020,3,0,NA,NA,0,0,0,0,0,-1,0,1,1,2,0
13-02-2020,3,0,NA,NA,0,0,0,0,0,-1,0,1,1,2,0
14-02-2020,3,0,NA,NA,0,0,0,0,0,-1,0,1,1,2,0
15-02-2020,3,0,NA,NA,0,0,0,0,0,-1,0,1,1,2,0
16-02-2020,3,0,NA,NA,0,0,0,0,0,-1,0,1,1,2,0
17-02-2020,3,0,NA,NA,0,0,0,0,0,-1,0,1,1,2,0
18-02-2020,3,0,NA,NA,0,0,0,0,0,-1,0,1,1,2,0
19-02-2020,3,0,NA,NA,0,0,0,0,0,-1,0,1,1,2,0
20-02-2020,3,0,NA,NA,0,0,0,0,0,-1,0,1,1,2,0
21-02-2020,3,0,NA,NA,0,0,0,0,0,-1,0,1,1,2,0
22-02-2020,3,0,NA,NA,0,0,0,0,0,-1,0,1,1,2,0
23-02-2020,3,0,NA,NA,0,0,0,0,0,-1,0,1,1,2,0
24-02-2020,3,0,NA,NA,0,0,0,0,0,-1,0,1,1,2,0
25-02-2020,3,0,NA,NA,0,0,0,0,0,-1,0,1,1,2,0
26-02-2020,3,0,NA,NA,0,0,0,0,0,-1,0,1,1,2,0
27-02-2020,3,0,NA,NA,0,0,0,0,0,-1,0,1,1,2,0
28-02-2020,3,0,NA,NA,0,0,0,0,0,-1,0,1,1,2,0
29-02-2020,3,0,NA,NA,0,0,0,0,0,-1,0,1,1,2,0
01-03-2020,3,0,NA,NA,0,0,0,0,0,-1,0,1,1,2,0
02-03-2020,5,0,NA,NA,0,0,0,0,0,-1,0,1,1,2,0
03-03-2020,5,0,NA,NA,0,0,0,0,0,-1,0,1,1,2,0
04-03-2020,28,0,NA,NA,0,0,0,0,0,-1,0,1,1,2,0
05-03-2020,30,0,NA,NA,-2,0,1,0,0,-1,0,1,2,2,0
06-03-2020,31,0,NA,NA,-2,0,1,0,0,-1,0,1,2,2,0
07-03-2020,34,0,NA,NA,-2,0,1,0,0,-1,0,1,2,2,0
08-03-2020,39,0,NA,NA,-2,0,1,0,0,-1,0,1,2,2,0
09-03-2020,43,0,NA,NA,-2,0,1,0,0,-1,0,1,2,2,0
10-03-2020,56,0,NA,NA,-2,0,1,0,0,-1,0,1,2,2,0
11-03-2020,62,0,NA,NA,-2,0,1,0,0,-1,0,1,2,2,0
12-03-2020,73,0,NA,NA,-2,0,1,0,0,-1,0,1,2,2,0
13-03-2020,82,0,NA,NA,-3,0,1,0,0,-1,0,2,2,2,0
14-03-2020,102,0,NA,NA,-3,0,-2,0,0,-1,0,2,2,2,0
15-03-2020,113,0,NA,NA,-3,0,-2,0,0,-1,0,3,2,2,0
16-03-2020,119,0,NA,NA,-3,1,-2,0,0,-1,1,3,2,2,0
17-03-2020,142,0,NA,NA,-3,1,-2,0,0,-1,1,3,2,2,0
18-03-2020,156,0,NA,NA,3,1,-2,0,0,-1,1,3,2,2,0
19-03-2020,194,0,NA,NA,3,1,-2,-4,0,-1,1,3,2,2,0
20-03-2020,244,0,NA,NA,3,1,-2,-4,-2,-1,-2,3,2,2,0
